hour_ending,total,pumping,other
7217.0,2465.37507473,1972.30005978,493.075014946
7218.0,2324.42203427,1859.53762742,464.884406854
7219.0,2178.10315041,1742.48252033,435.620630082
7220.0,2097.95278109,1678.36222487,419.590556218
7221.0,1935.47504312,1548.3800345,387.095008624
7222.0,1850.9400132,1480.75201056,370.18800264
7223.0,1815.49478484,1452.39582787,363.098956968
7224.0,1785.75268145,1428.60214516,357.15053629
7225.0,1782.77847112,1426.2227769,356.555694224
7226.0,1719.76813869,1375.81451095,343.953627738
7227.0,1561.46042759,1249.16834207,312.292085518
7228.0,1562.47227235,1249.97781788,312.49445447
7229.0,1405.29905385,1124.23924308,281.05981077
7230.0,1376.63011915,1101.30409532,275.32602383
7231.0,1411.676742,1129.3413936,282.3353484
7232.0,1591.23319294,1272.98655435,318.246638588
7233.0,1943.14053369,1554.51242695,388.628106738
7234.0,2217.53443386,1774.02754709,443.506886772
7235.0,2316.1126425,1852.890114,463.2225285
7236.0,2465.71235632,1972.56988506,493.142471264
7237.0,2628.61936175,2102.8954894,525.72387235
7238.0,2800.29568839,2240.23655071,560.059137678
7239.0,2873.45513032,2298.76410426,574.691026064
7240.0,2679.94748656,2143.95798925,535.989497312
7241.0,2457.34164062,1965.8733125,491.468328124
7242.0,2244.45563672,1795.56450938,448.891127344
7243.0,2042.3013196,1633.84105568,408.46026392
7244.0,1969.29518748,1575.43614998,393.859037496
7245.0,1668.5933237,1334.87465896,333.71866474
7246.0,1631.18572975,1304.9485838,326.23714595
7247.0,1639.55644545,1311.64515636,327.91128909
7248.0,1596.44572652,1277.15658122,319.289145304
7249.0,1572.34542419,1257.87633935,314.469084838
7250.0,1532.699507,1226.1596056,306.5399014
7251.0,1377.33534428,1101.86827542,275.467068856
7252.0,1352.4684929,1081.97479432,270.49369858
7253.0,1387.94438322,1110.35550658,277.588876644
7254.0,1391.04124141,1112.83299313,278.208248282
7255.0,1421.64187973,1137.31350378,284.328375946
7256.0,1358.57022338,1086.8561787,271.714044676
7257.0,1673.95916709,1339.16733367,334.791833418
7258.0,2077.43992834,1661.95194267,415.487985668
7259.0,2123.73949134,1698.99159307,424.747898268
7260.0,2119.17085896,1695.33668717,423.834171792
7261.0,2391.84768926,1913.47815141,478.369537852
7262.0,2589.00410652,2071.20328522,517.800821304
7263.0,2699.080551,2159.2644408,539.8161102
7264.0,2578.91632094,2063.13305675,515.783264188
7265.0,2319.3628105,1855.4902484,463.8725621
7266.0,2115.0008321,1692.00066568,423.00016642
7267.0,1934.73915603,1547.79132482,386.947831206
7268.0,1853.88356157,1483.10684926,370.776712314
7269.0,1716.48730873,1373.18984698,343.297461746
7270.0,1748.37574947,1398.70059958,349.675149894
7271.0,1719.79880065,1375.83904052,343.95976013
7272.0,1651.57593465,1321.26074772,330.31518693
7273.0,1642.4386699,1313.95093592,328.48773398
7274.0,1626.89305504,1301.51444403,325.378611008
7275.0,1507.61802188,1206.0944175,301.523604376
7276.0,1499.24730619,1199.39784495,299.849461238
7277.0,1526.53645259,1221.22916207,305.307290518
7278.0,1496.70236332,1197.36189066,299.340472664
7279.0,1579.36701355,1263.49361084,315.87340271
7280.0,1698.61138474,1358.88910779,339.722276948
7281.0,1864.86054406,1491.88843525,372.972108812
7282.0,2080.16884298,1664.13507438,416.033768596
7283.0,2132.11020703,1705.68816562,426.422041406
7284.0,2219.68077122,1775.74461698,443.936154244
7285.0,2121.40918221,1697.12734577,424.281836442
7286.0,2239.36575098,1791.49260078,447.873150196
7287.0,2396.66161733,1917.32929386,479.332323466
7288.0,2254.39011249,1803.51208999,450.878022498
7289.0,2195.9790744,1756.78325952,439.19581488
7290.0,2092.70958554,1674.16766843,418.541917108
7291.0,1957.33702221,1565.86961777,391.467404442
7292.0,1858.5748418,1486.85987344,371.71496836
7293.0,1670.09575985,1336.07660788,334.01915197
7294.0,1701.76956685,1361.41565348,340.35391337
7295.0,1680.67413682,1344.53930946,336.134827364
7296.0,1676.84139154,1341.47311323,335.368278308
7297.0,1650.13482242,1320.10785794,330.026964484
7298.0,1634.34391186,1307.47512949,326.868782372
7299.0,1555.97193635,1244.77754908,311.19438727
7300.0,1579.82694298,1263.86155438,315.965388596
7301.0,1474.50310265,1179.60248212,294.90062053
7302.0,1357.40506882,1085.92405506,271.481013764
7303.0,1344.12843916,1075.30275133,268.825687832
7304.0,1354.18556278,1083.34845022,270.837112556
7305.0,1472.35676529,1177.88541223,294.471353058
7306.0,1459.17212153,1167.33769722,291.834424306
7307.0,1590.1293623,1272.10348984,318.02587246
7308.0,1516.66330075,1213.3306406,303.33266015
7309.0,1625.11466123,1300.09172898,325.022932246
7310.0,1590.19068622,1272.15254898,318.038137244
7311.0,1623.21361957,1298.57089566,324.642723914
7312.0,1614.75091799,1291.80073439,322.950183598
7313.0,1515.43682226,1212.34945781,303.087364452
7314.0,1439.08853625,1151.270829,287.81770725
7315.0,1421.76452758,1137.41162206,284.352905516
7316.0,1403.1527165,1122.5221732,280.6305433
7317.0,1345.53888943,1076.43111154,269.107777886
7318.0,1369.39389606,1095.51511685,273.878779212
7319.0,1325.76192378,1060.60953902,265.152384756
7320.0,1319.59886936,1055.67909549,263.919773872
7321.0,1478.82643933,1183.06115146,295.765287866
7322.0,1824.04947231,1459.23957785,364.809894462
7323.0,1191.83047267,953.464378136,238.366094534
7324.0,1203.45135636,962.761085088,240.690271272
7325.0,1201.21303312,960.970426496,240.242606624
7326.0,1215.37885968,972.303087744,243.075771936
7327.0,1182.50923614,946.007388912,236.501847228
7328.0,1112.4466524,889.95732192,222.48933048
7329.0,1161.90439751,929.523518008,232.380879502
7330.0,1233.83736095,987.06988876,246.76747219
7331.0,1338.27200437,1070.6176035,267.654400874
7332.0,1389.38549545,1111.50839636,277.87709909
7333.0,1440.80560614,1152.64448491,288.161121228
7334.0,1440.98957791,1152.79166233,288.197915582
7335.0,1500.81106626,1200.64885301,300.162213252
7336.0,1383.68237047,1106.94589638,276.736474094
7337.0,1250.70144019,1000.56115215,250.140288038
7338.0,1242.02410487,993.619283896,248.404820974
7339.0,1275.96689708,1020.77351766,255.193379416
7340.0,1167.97546604,934.380372832,233.595093208
7341.0,1058.66557061,846.932456488,211.733114122
7342.0,1043.94782873,835.158262984,208.789565746
7343.0,1028.67817153,822.942537224,205.735634306
7344.0,1014.8189646,811.85517168,202.96379292
7345.0,995.10332287,796.082658296,199.020664574
7346.0,992.466394116,793.973115293,198.493278823
7347.0,978.883144839,783.106515871,195.776628968
7348.0,997.862899472,798.290319578,199.572579894
7349.0,1014.35903516,811.487228128,202.871807032
7350.0,1138.96924975,911.1753998,227.79384995
7351.0,1163.16153796,930.529230368,232.632307592
7352.0,1201.09038527,960.872308216,240.218077054
7353.0,1418.94362705,1135.15490164,283.78872541
7354.0,1477.14003141,1181.71202513,295.428006282
7355.0,1551.28065613,1241.0245249,310.256131226
