hour_ending,cooling,poolpump,plugload,other,total
7950.0,0.0,477.63492,2822.87106008,6586.6991402,9887.20512028
7951.0,0.0,879.8538,2987.30568141,6970.37992329,10837.5394047
7952.0,0.0,1151.351544,3417.83744253,7974.95403257,12544.1430191
7953.0,0.0835305876501,1407.76608,3579.72167616,8352.68391104,13340.2551978
7954.0,6.90000281028,1935.67836,3764.02525647,8782.72559843,14489.3292177
7955.0,134.902157808,2332.869504,3689.50211451,8608.83826719,14766.1120435
7956.0,614.143133079,2523.923472,3644.32174935,8503.41741515,15285.8057696
7957.0,842.788951959,2347.952712,3664.9585122,8551.5698618,15407.270038
7958.0,593.722564706,2257.453464,3694.44102069,8620.36238161,15165.979431
7959.0,660.029725041,2041.260816,3623.70137448,8455.30320712,14780.2951226
7960.0,984.063199299,1704.402504,3729.80375799,8702.87543531,15121.1448966
7961.0,773.254409674,1417.821552,4304.65283937,10044.1899585,16539.9187596
7962.0,235.054005392,990.463992,5406.32888538,12614.7673992,19246.614282
7963.0,135.192018076,754.1604,5855.69074374,13663.2784021,20408.3215639
7964.0,129.21623254,688.799832,5832.68397063,13609.5959315,20260.2959666
7965.0,170.01513051,553.05096,5776.74062766,13479.0614645,19978.8681827
7966.0,173.180028935,397.191144,5516.21244894,12871.1623809,18957.7460027
7967.0,122.240643227,276.52548,5141.75038461,11997.4175641,17537.9340719
7968.0,5.90159791796,306.691896,4406.90913915,10282.7879914,15002.2906244
7969.0,1.9299328451,326.80284,3593.25398001,8384.25928669,12306.2460395
7970.0,0.63896425277,251.3868,3221.01874113,7515.71039597,10988.7549014
7971.0,3.3196607333,316.747368,2866.88940458,6689.4086107,9876.36504401
7972.0,0.0,361.996992,2745.00031362,6405.00073177,9511.99803739
7973.0,0.0,356.969256,2743.78463322,6402.16414419,9502.91803341
7974.0,0.0,477.63492,2805.73427887,6546.71331737,9830.08251624
7975.0,0.0,879.8538,2998.77830307,6997.14937383,10875.7814769
7976.0,0.0,1151.351544,3419.44339455,7978.70125395,12549.4961925
7977.0,0.63896425277,1407.76608,3770.71356825,8798.33165925,13977.4502718
7978.0,170.447820787,1935.67836,3883.58608056,9061.70085464,15051.413116
