hour_ending,total
3383.0,40978.9469805
3384.0,35803.6438757
3385.0,32296.1770964
3386.0,30207.7876239
3387.0,28615.9541168
3388.0,27639.7156336
3389.0,27334.3778909
3390.0,27998.7854433
3391.0,31321.9562888
3392.0,34428.3633932
3393.0,39227.2356555
3394.0,43710.0883645
3395.0,46516.390696
3396.0,49185.9636979
3397.0,50193.6719277
3398.0,50040.2592987
3399.0,49726.4996889
3400.0,48657.4731857
3401.0,46672.0668327
3402.0,44992.8284689
3403.0,43583.0863898
3404.0,43628.8069891
3405.0,44777.3656466
3406.0,43286.4706306
3407.0,39564.716827
3408.0,35243.7388599
3409.0,32140.4315459
3410.0,30214.4654042
3411.0,28770.0084135
3412.0,27665.7886262
3413.0,27323.9751352
3414.0,28294.8164535
3415.0,30628.308452
3416.0,32899.4881938
3417.0,37240.6511263
3418.0,41914.5833065
3419.0,45233.5508393
3420.0,48204.8578587
3421.0,49903.1569895
3422.0,51619.2478732
3423.0,52968.9509564
3424.0,52737.2723736
3425.0,50313.8010862
3426.0,48571.9860443
3427.0,47065.6233101
3428.0,44981.6255231
3429.0,46315.1790807
3430.0,46605.8375164
3431.0,45060.6733305
3432.0,38706.3698302
3433.0,34640.3172904
3434.0,32240.9197636
3435.0,30195.1953265
3436.0,28715.3686657
3437.0,27879.6705308
3438.0,28116.3792246
3439.0,28210.2122332
3440.0,29275.1100628
3441.0,31371.8386496
3442.0,34733.8029096
3443.0,37693.9802241
3444.0,39758.039534
3445.0,41462.8201802
3446.0,41582.7690241
3447.0,41394.3830362
3448.0,41320.1752417
3449.0,41964.3238932
3450.0,42850.9445163
3451.0,42411.2116797
3452.0,41900.9508663
3453.0,44141.9942437
3454.0,44194.4196402
3455.0,42332.2950354
3456.0,37491.6449525
3457.0,33801.6463243
3458.0,31023.7100104
3459.0,28854.9243632
3460.0,27253.4495818
3461.0,26420.1703263
3462.0,26715.8256041
3463.0,27088.2388914
3464.0,29073.5188045
3465.0,31402.3270088
3466.0,35142.5824596
3467.0,39506.1046318
3468.0,44157.5466659
3469.0,45966.280725
3470.0,46176.2504138
3471.0,45664.1916823
3472.0,46119.6276546
3473.0,45576.235173
3474.0,46069.7410911
3475.0,45924.6579242
3476.0,44739.7391458
3477.0,45391.8684217
3478.0,44957.9893124
3479.0,42194.9107132
3480.0,37063.5779161
3481.0,33351.3607103
3482.0,30451.6171238
3483.0,28695.1483003
3484.0,27190.4019953
3485.0,26470.366949
3486.0,27571.4613226
3487.0,28721.1617755
3488.0,29243.9347917
3489.0,31053.4692769
3490.0,34512.1496038
3491.0,38791.423183
3492.0,42989.4795495
3493.0,45361.0546781
3494.0,46771.6213801
3495.0,47345.4070462
3496.0,47357.970656
3497.0,46848.0792907
3498.0,46441.2180733
3499.0,45447.7171055
3500.0,43593.7872657
3501.0,44467.8245789
3502.0,43806.2356803
3503.0,40493.0213344
3504.0,35430.8069336
3505.0,32227.4157964
3506.0,30510.7069821
3507.0,28765.0199175
3508.0,28093.5326373
3509.0,27655.9819738
3510.0,28679.9582794
3511.0,30453.7898469
3512.0,34228.1638037
3513.0,41236.0034079
3514.0,47604.8493018
3515.0,54314.4699361
3516.0,58989.0172148
3517.0,60949.2661601
3518.0,62154.9928387
3519.0,62280.5701924
3520.0,60574.6576712
3521.0,56880.3431928
3522.0,53768.7285158
3523.0,51778.2967096
3524.0,48556.8761456
3525.0,47849.834857
3526.0,46716.7992701
3527.0,41162.4312954
3528.0,35005.879399
3529.0,31389.6921158
3530.0,28951.3257132
3531.0,27323.2725556
3532.0,26017.2004552
3533.0,25851.0795708
3534.0,26919.7557558
3535.0,30308.6073691
3536.0,33621.2530404
3537.0,38762.5383109
3538.0,45314.8725567
3539.0,49838.6056367
3540.0,54712.9553398
3541.0,58574.4515027
3542.0,59998.0601065
3543.0,60930.6221564
3544.0,60029.5370449
3545.0,56986.5032028
3546.0,53971.7318599
3547.0,51417.4559121
3548.0,48658.0520929
3549.0,48487.2258135
3550.0,47022.540992
3551.0,42239.6886628
3552.0,36843.202066
3553.0,33118.3318974
3554.0,30695.3174277
3555.0,29324.6210897
3556.0,28435.4846891
3557.0,28006.2114925
3558.0,29238.4652878
3559.0,31050.4881952
3560.0,33907.3311622
3561.0,39594.5009841
3562.0,46200.2498602
3563.0,51798.7148792
3564.0,56562.1153658
3565.0,58839.2056638
3566.0,59714.9356749
3567.0,60508.4095021
3568.0,59251.3115105
3569.0,56724.9016414
3570.0,53952.7490171
3571.0,51960.1698114
3572.0,49601.2268706
3573.0,49918.3908729
3574.0,48486.111751
3575.0,43645.8249249
3576.0,37530.691748
3577.0,33489.007386
3578.0,31323.636829
3579.0,29455.9908662
3580.0,28442.5106019
3581.0,28082.2430744
3582.0,28981.9610864
3583.0,30186.5101205
3584.0,33168.4867834
3585.0,38416.1347903
3586.0,45125.6508031
3587.0,51594.9822196
3588.0,57283.7330835
3589.0,60606.1055125
3590.0,61996.4313508
3591.0,63195.9568737
3592.0,62748.7070258
3593.0,59147.7534459
3594.0,56833.3888796
3595.0,54249.8977581
3596.0,51405.9470848
3597.0,50500.6023926
3598.0,50275.9205716
3599.0,47689.1693218
3600.0,41844.5496969
3601.0,36878.2622172
