hour_ending,total,pumping,other
7583.0,594.203190988,475.36255279,118.840638198
7584.0,759.442636999,607.554109599,151.8885274
7585.0,745.125324606,596.100259685,149.025064921
7586.0,740.640622457,592.512497966,148.128124491
7587.0,747.298222329,597.838577863,149.459644466
7588.0,728.972459342,583.177967474,145.794491868
7589.0,738.041082715,590.432866172,147.608216543
7590.0,855.764514138,684.61161131,171.152902828
7591.0,842.568377283,674.054701826,168.513675457
7592.0,562.74082259,450.192658072,112.548164518
7593.0,958.059379539,766.447503631,191.611875908
7594.0,637.631379723,510.105103778,127.526275945
7595.0,821.682762184,657.346209747,164.336552437
7596.0,836.902968151,669.522374521,167.38059363
7597.0,636.420907019,509.136725615,127.284181404
7598.0,705.348397798,564.278718238,141.06967956
7599.0,916.268305526,733.014644421,183.253661105
7600.0,821.166822999,656.933458399,164.2333646
7601.0,846.98362608,677.586900864,169.396725216
7602.0,856.875767768,685.500614214,171.375153554
7603.0,703.473157298,562.778525838,140.69463146
7604.0,649.974232541,519.979386033,129.994846508
7605.0,613.144112234,490.515289787,122.628822447
7606.0,591.315915932,473.052732746,118.263183186
7607.0,807.891310884,646.313048707,161.578262177
7608.0,979.292261397,783.433809118,195.858452279
7609.0,991.65495803,793.323966424,198.330991606
7610.0,982.437506046,785.950004837,196.487501209
7611.0,977.456708526,781.965366821,195.491341705
7612.0,959.448446576,767.558757261,191.889689315
7613.0,955.122494945,764.097995956,191.024498989
7614.0,1098.12694645,878.50155716,219.62538929
7615.0,989.7400299,791.79202392,197.94800598
7616.0,774.474326726,619.579461381,154.894865345
7617.0,838.857583911,671.086067129,167.771516782
7618.0,817.44610772,653.956886176,163.489221544
7619.0,1098.42460367,878.739682936,219.684920734
7620.0,1124.06281242,899.250249936,224.812562484
7621.0,887.345945425,709.87675634,177.469189085
7622.0,916.75447899,733.403583192,183.350895798
7623.0,934.038441698,747.230753358,186.80768834
7624.0,868.206586031,694.565268825,173.641317206
7625.0,864.922434678,691.937947742,172.984486936
7626.0,845.614402858,676.491522286,169.122880572
