hour_ending,cooling,poolpump,plugload,other,total
4905.0,133.978738879,4516.35744,5366.19088515,12521.1120654,22537.6391294
4906.0,240.000054748,6209.99148,4973.8765335,11605.7119115,23029.5799797
4907.0,454.183269504,7484.249472,4582.36594644,10692.1872084,23212.9858963
4908.0,477.802179971,8097.183696,4866.90320082,11356.1074686,24797.9965454
4909.0,579.92657585,7532.639016,5386.03481808,12567.4145755,26066.0149854
4910.0,695.620844273,7242.301752,5587.06236015,13036.4788403,26561.4637968
4911.0,608.220982298,6548.718288,6352.77626475,14823.1446178,28332.8601528
4912.0,623.711508492,5468.018472,6902.83874073,16106.6237284,29101.1924496
4913.0,619.90074119,4548.617136,7761.36267501,18109.8462417,31039.7267939
4914.0,536.611705148,3177.580056,8824.9535418,20591.5582642,33130.7035671
4915.0,513.385467567,2419.4772,9924.49514373,23157.1553354,36014.5131467
4916.0,348.170081074,2209.789176,10110.5740605,23591.3394746,36259.8727922
4917.0,227.671162408,1774.28328,12234.5641967,28547.3164591,42783.8350982
4918.0,213.469011112,1274.257992,12442.4703348,29032.4307812,42962.6281191
4919.0,199.570029882,887.14164,11380.8175576,26555.2409676,39022.7701951
4920.0,191.443903779,983.920728,9621.64819035,22450.5124442,33247.5252663
4921.0,188.988512283,1048.44012,8337.23306751,19453.5438242,29028.205524
4922.0,178.184789703,806.4924,7750.35587763,18084.1637145,26819.1967818
4923.0,175.238319908,1016.180424,7390.0416306,17243.4304714,25824.8908459
4924.0,133.976438472,1161.349056,7060.70496864,16474.9782602,24831.0087233
4925.0,134.37137073,1145.219208,7036.83074709,16419.2717432,24735.693069
4926.0,169.011169166,1532.33556,7081.93108866,16524.5058735,25307.7836914
4927.0,169.701590307,2822.7234,6360.42906105,14841.0011425,24193.8551938
4928.0,171.844438007,3693.735192,5985.36444045,13965.850361,23816.7944315
4929.0,182.66832757,4516.35744,5686.18365165,13267.7618538,23652.9712731
4930.0,247.650565008,6209.99148,5122.55590272,11952.6304397,23532.8283874
4931.0,321.636472845,7484.249472,4797.5179461,11194.2085409,23797.6124318
4932.0,352.324471208,8097.183696,4751.39189025,11086.5810772,24287.4811347
4933.0,513.639753496,7532.639016,4995.30395313,11655.709224,24697.2919466
4934.0,609.124451523,7242.301752,5127.20806008,11963.4854735,24942.1197371
4935.0,717.230076424,6548.718288,5406.83337069,12615.9445316,25288.7262667
