hour_ending,total,pumping,other
7060.0,53.387890254,42.7103122032,10.6775780508
7061.0,53.3494886067,42.6795908854,10.6698977213
7062.0,47.6948460317,38.1558768254,9.53896920634
7063.0,58.5241105896,46.8192884717,11.7048221179
7064.0,54.5111384396,43.6089107517,10.9022276879
7065.0,49.6533300474,39.7226640379,9.93066600948
7066.0,46.8404093777,37.4723275022,9.36808187554
7067.0,38.5168523106,30.8134818485,7.70337046212
7068.0,45.9763723119,36.7810978495,9.19527446238
7069.0,44.027488708,35.2219909664,8.8054977416
7070.0,51.323801708,41.0590413664,10.2647603416
7071.0,53.8295091988,43.063607359,10.7659018398
7072.0,53.695103433,42.9560827464,10.7390206866
7073.0,48.7028892751,38.9623114201,9.74057785502
7074.0,55.0967635619,44.0774108495,11.0193527124
7075.0,57.2280549909,45.7824439927,11.4456109982
7076.0,57.0648479896,45.6518783917,11.4129695979
7077.0,61.7882506159,49.4306004927,12.3576501232
7078.0,57.0264463422,45.6211570738,11.4052892684
7079.0,54.1559232014,43.3247385611,10.8311846403
7080.0,45.3811467777,36.3049174222,9.07622935554
7081.0,41.4449779224,33.1559823379,8.28899558448
7082.0,42.8562384632,34.2849907706,8.57124769264
7083.0,43.3074578198,34.6459662558,8.66149156396
7084.0,38.8048646659,31.0438917327,7.76097293318
7085.0,41.0993630961,32.8794904769,8.21987261922
7086.0,42.808236404,34.2465891232,8.5616472808
7087.0,52.293443304,41.8347546432,10.4586886608
7088.0,50.9493856461,40.7595085169,10.1898771292
7089.0,45.4291488369,36.3433190695,9.08582976738
7090.0,45.544353779,36.4354830232,9.1088707558
7091.0,44.5171097119,35.6136877695,8.90342194238
7092.0,42.933041758,34.3464334064,8.5866083516
7093.0,49.7781354014,39.8225083211,9.95562708028
7094.0,57.3336595211,45.8669276169,11.4667319042
